"age_group","value","state","substance"
12to17,31,Alabama,alcohol
18to25,232,Alabama,alcohol
26plus,1536,Alabama,alcohol
All,1798,Alabama,alcohol
12to17,5,Alaska,alcohol
18to25,38,Alaska,alcohol
26plus,260,Alaska,alcohol
All,303,Alaska,alcohol
12to17,45,Arizona,alcohol
18to25,375,Arizona,alcohol
26plus,2540,Arizona,alcohol
All,2959,Arizona,alcohol
12to17,20,Arkansas,alcohol
18to25,152,Arkansas,alcohol
26plus,859,Arkansas,alcohol
All,1031,Arkansas,alcohol
12to17,268,California,alcohol
18to25,2275,California,alcohol
26plus,13932,California,alcohol
All,16475,California,alcohol
12to17,46,Colorado,alcohol
18to25,368,Colorado,alcohol
26plus,2470,Colorado,alcohol
All,2885,Colorado,alcohol
12to17,30,Connecticut,alcohol
18to25,251,Connecticut,alcohol
26plus,1555,Connecticut,alcohol
All,1837,Connecticut,alcohol
12to17,7,Delaware,alcohol
18to25,55,Delaware,alcohol
26plus,402,Delaware,alcohol
All,464,Delaware,alcohol
12to17,131,Florida,alcohol
18to25,970,Florida,alcohol
26plus,8198,Florida,alcohol
All,9298,Florida,alcohol
12to17,63,Georgia,alcohol
18to25,518,Georgia,alcohol
26plus,3544,Georgia,alcohol
All,4125,Georgia,alcohol
12to17,6,Hawaii,alcohol
18to25,61,Hawaii,alcohol
26plus,467,Hawaii,alcohol
All,533,Hawaii,alcohol
12to17,12,Idaho,alcohol
18to25,91,Idaho,alcohol
26plus,574,Idaho,alcohol
All,677,Idaho,alcohol
12to17,84,Illinois,alcohol
18to25,734,Illinois,alcohol
26plus,5089,Illinois,alcohol
All,5907,Illinois,alcohol
12to17,49,Indiana,alcohol
18to25,411,Indiana,alcohol
26plus,2306,Indiana,alcohol
All,2766,Indiana,alcohol
12to17,28,Iowa,alcohol
18to25,226,Iowa,alcohol
26plus,1267,Iowa,alcohol
All,1521,Iowa,alcohol
12to17,24,Kansas,alcohol
18to25,188,Kansas,alcohol
26plus,1038,Kansas,alcohol
All,1250,Kansas,alcohol
12to17,33,Kentucky,alcohol
18to25,223,Kentucky,alcohol
26plus,1355,Kentucky,alcohol
All,1610,Kentucky,alcohol
12to17,36,Louisiana,alcohol
18to25,246,Louisiana,alcohol
26plus,1553,Louisiana,alcohol
All,1835,Louisiana,alcohol
12to17,9,Maine,alcohol
18to25,73,Maine,alcohol
